frame_time_delta,ipv6_plen,ipv6_nxt,frame_len,mqtt_dupflag,mqtt_hdrflags,mqtt_kalive,mqtt_msgid,mqtt_msgtype,mqtt_retain,label,mqtt_len_flag,mqtt_len_null,ipv6_src_fd,ipv6_src_fe,ipv6_dst_fd,ipv6_dst_fe,ipv6_dst_ff
1218442000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
4834208000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0851072000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0012476000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1014313000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0018732000,62,6,116,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0757625000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0280268000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0066657000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1594333000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0116435000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0629376000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0285741000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1688513000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2092440000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
4006212000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0191534000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1434168000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0777598000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0941711000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2062406000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0754616000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
5584675000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0867860000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1054623000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0416663000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
4087781000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0364249000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0712419000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2697967000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3040339000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2082265000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3387368000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3222060000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0330349000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0357095000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0994294000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0001455000,47,17,101,0,0,00,0,0,0,0,0,1,10,00,10,00,00
0016007000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0111828000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0547255000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3572321000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0031621000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3184237000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1758063000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0329527000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2847872000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0061843000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0001820000,47,17,101,0,0,00,0,0,0,0,0,1,10,00,10,00,00
0682573000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0706303000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0316731000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0574242000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0874192000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0516932000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0395608000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1301697000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1426708000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
6574108000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1675209000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0104672000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0380437000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0232503000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3772412000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0676244000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0324211000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0006276000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2315604000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0673030000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0003944000,112,6,166,1,2,00,0,2,2,0,2,0,10,00,10,00,00
1219458000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0003343000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0224136000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0202703000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1186276000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0305687000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0017621000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1860974000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0539441000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
5816938000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2405357000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1280134000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0235315000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0078670000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2063845000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1300571000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0841680000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2694800000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0014413000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0010113000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2103350000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0084950000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3014998000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3155551000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0943777000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3188039000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0453028000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2427753000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2054534000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0773143000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0104770000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1167662000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
